Mine_Location,Machine_ID,Equipment_Type,Capacity,Purchase_Date,Last_Serviced_Date,Health_Score_%,Current_Status,Workers_Count,Has_Fuel_Sensor,Fuel_Capacity_L,Current_Fuel_L
Balaghat Mine,MOIL-DOZ-0001,Dozer,200 HP,2022-05-29,2026-08-20,88.6,Active,"2,500 - 3,000",1,300.0,50.1
Balaghat Mine,MOIL-SUR-0002,Surface Driller,150 mm,2025-07-21,2026-05-11,31.3,Maintenance,"2,500 - 3,000",1,500.0,212.5
Balaghat Mine,MOIL-EXC-0003,Excavator,40 Ton,2025-07-09,2026-08-27,89.9,Active,"2,500 - 3,000",1,500.0,143.2
Balaghat Mine,MOIL-DUM-0004,Dumper,60 Ton,2022-02-20,2026-08-13,79.3,Active,"2,500 - 3,000",1,300.0,263.8
Balaghat Mine,MOIL-SUR-0005,Surface Driller,200 mm,2022-07-24,2026-06-29,56.5,Active,"2,500 - 3,000",1,500.0,498.7
Balaghat Mine,MOIL-LHD-0006,LHD (Load Haul Dumper),5 Ton,2025-08-19,2026-05-28,49.4,Active,"2,500 - 3,000",1,500.0,112.4
Balaghat Mine,MOIL-DOZ-0007,Dozer,300 HP,2025-09-04,2026-07-11,64.7,Active,"2,500 - 3,000",1,1000.0,334.1
Balaghat Mine,MOIL-DOZ-0008,Dozer,200 HP,2025-06-08,2026-07-26,70.3,Active,"2,500 - 3,000",1,1000.0,73.8
Balaghat Mine,MOIL-DUM-0009,Dumper,35 Ton,2023-10-16,2026-06-10,49.5,Active,"2,500 - 3,000",1,300.0,125.5
Balaghat Mine,MOIL-DOZ-0010,Dozer,200 HP,2025-01-10,2026-05-10,37.4,Maintenance,"2,500 - 3,000",1,500.0,144.8
Tirodi Mine,MOIL-EXC-0011,Excavator,30 Ton,2024-05-25,2026-07-21,70.4,Active,400 - 500,0,,
Tirodi Mine,MOIL-DOZ-0012,Dozer,400 HP,2024-03-14,2026-06-21,60.0,Active,400 - 500,0,,
Tirodi Mine,MOIL-EXC-0013,Excavator,30 Ton,2025-03-12,2026-05-15,36.7,Maintenance,400 - 500,0,,
Tirodi Mine,MOIL-LHD-0014,LHD (Load Haul Dumper),5 Ton,2022-02-06,2026-08-03,82.8,Active,400 - 500,0,,
Tirodi Mine,MOIL-DOZ-0015,Dozer,200 HP,2024-08-12,2026-08-20,84.4,Active,400 - 500,0,,
Tirodi Mine,MOIL-LHD-0016,LHD (Load Haul Dumper),2 Ton,2022-12-08,2026-06-10,48.1,Active,400 - 500,0,,
Tirodi Mine,MOIL-DUM-0017,Dumper,35 Ton,2024-05-12,2026-08-02,81.5,Active,400 - 500,0,,
Tirodi Mine,MOIL-SUR-0018,Surface Driller,150 mm,2024-09-25,2026-08-22,90.3,Active,400 - 500,0,,
Tirodi Mine,MOIL-EXC-0019,Excavator,50 Ton,2025-07-28,2026-05-15,38.8,Maintenance,400 - 500,0,,
Tirodi Mine,MOIL-DUM-0020,Dumper,35 Ton,2022-01-09,2026-08-16,87.5,Active,400 - 500,0,,
Ukwa Mine,MOIL-SUR-0021,Surface Driller,150 mm,2025-07-19,2026-05-17,40.7,Active,600 - 800,0,,
Ukwa Mine,MOIL-EXC-0022,Excavator,40 Ton,2023-11-03,2026-07-30,77.2,Active,600 - 800,0,,
Ukwa Mine,MOIL-DOZ-0023,Dozer,400 HP,2024-11-11,2026-07-09,64.4,Active,600 - 800,0,,
Ukwa Mine,MOIL-DUM-0024,Dumper,35 Ton,2021-10-29,2026-08-19,84.0,Idle,600 - 800,0,,
Ukwa Mine,MOIL-SUR-0025,Surface Driller,150 mm,2022-02-24,2026-06-18,58.6,Active,600 - 800,0,,
Ukwa Mine,MOIL-LHD-0026,LHD (Load Haul Dumper),3 Ton,2022-06-21,2026-07-07,64.2,Active,600 - 800,0,,
Ukwa Mine,MOIL-EXC-0027,Excavator,40 Ton,2022-10-29,2026-06-16,55.8,Active,600 - 800,0,,
Ukwa Mine,MOIL-LHD-0028,LHD (Load Haul Dumper),3 Ton,2025-07-06,2026-07-05,61.0,Active,600 - 800,0,,
Ukwa Mine,MOIL-DUM-0029,Dumper,35 Ton,2023-12-29,2026-06-04,51.0,Active,600 - 800,0,,
Sitapatore Mine,MOIL-SUR-0030,Surface Driller,200 mm,2025-05-02,2026-05-29,48.8,Active,150 - 250,0,,
Sitapatore Mine,MOIL-DOZ-0031,Dozer,300 HP,2023-02-16,2026-08-26,92.8,Active,150 - 250,0,,
Sitapatore Mine,MOIL-EXC-0032,Excavator,50 Ton,2022-08-09,2026-05-18,34.6,Maintenance,150 - 250,0,,
Sitapatore Mine,MOIL-SUR-0033,Surface Driller,150 mm,2023-08-04,2026-07-08,61.0,Active,150 - 250,0,,
Sitapatore Mine,MOIL-EXC-0034,Excavator,50 Ton,2023-08-05,2026-08-07,84.4,Active,150 - 250,0,,
Sitapatore Mine,MOIL-DOZ-0035,Dozer,400 HP,2025-03-19,2026-07-31,76.8,Active,150 - 250,0,,
Sitapatore Mine,MOIL-LHD-0036,LHD (Load Haul Dumper),2 Ton,2021-10-10,2026-05-31,43.6,Active,150 - 250,0,,
Sitapatore Mine,MOIL-DOZ-0037,Dozer,200 HP,2024-06-14,2026-07-03,63.6,Active,150 - 250,0,,
Sitapatore Mine,MOIL-SUR-0038,Surface Driller,150 mm,2021-12-31,2026-06-27,56.5,Active,150 - 250,0,,
Sitapatore Mine,MOIL-SUR-0039,Surface Driller,150 mm,2023-12-02,2026-06-07,53.7,Active,150 - 250,0,,
Dongri Buzurg Mine,MOIL-EXC-0040,Excavator,50 Ton,2024-10-09,2026-06-23,53.9,Active,"800 - 1,000",0,,
Dongri Buzurg Mine,MOIL-DUM-0041,Dumper,60 Ton,2023-12-31,2026-08-17,83.1,Active,"800 - 1,000",0,,
Dongri Buzurg Mine,MOIL-LHD-0042,LHD (Load Haul Dumper),3 Ton,2021-10-31,2026-08-03,77.7,Active,"800 - 1,000",0,,
Dongri Buzurg Mine,MOIL-DUM-0043,Dumper,100 Ton,2022-12-04,2026-06-01,42.5,Active,"800 - 1,000",0,,
Dongri Buzurg Mine,MOIL-DUM-0044,Dumper,100 Ton,2022-04-23,2026-08-27,86.2,Active,"800 - 1,000",0,,
Dongri Buzurg Mine,MOIL-DOZ-0045,Dozer,400 HP,2023-11-07,2026-07-19,69.9,Active,"800 - 1,000",0,,
Dongri Buzurg Mine,MOIL-DOZ-0046,Dozer,400 HP,2024-08-12,2026-06-18,54.6,Active,"800 - 1,000",0,,
Chikla Mine,MOIL-DUM-0047,Dumper,100 Ton,2023-07-08,2026-08-21,82.2,Active,700 - 900,0,,
