time,temperature_2m,precipitation,soil_moisture_0_to_7cm,wind_gusts_10m,Rolling_72h_Rainfall,Pending_Target_Tons,Days_To_Deadline,Overtime_Capacity_hrs,Recommended_Action
2025-09-06 00:00:00,24.6,0.0,0.47,11.5,0.0,202,7,4,Normal Operations
2025-09-06 01:00:00,24.4,0.0,0.471,10.4,0.0,535,14,2,Normal Operations
2025-09-06 02:00:00,24.2,0.0,0.471,10.8,0.0,960,7,3,Normal Operations
2025-09-06 03:00:00,24.0,0.0,0.471,11.2,0.0,370,14,3,Normal Operations
2025-09-06 04:00:00,23.8,0.0,0.472,13.3,0.0,206,10,0,Normal Operations
2025-09-06 05:00:00,23.8,0.0,0.472,13.3,0.0,171,12,2,Normal Operations
2025-09-06 06:00:00,24.8,0.0,0.456,15.8,0.0,800,6,3,Normal Operations
2025-09-06 07:00:00,26.0,0.0,0.456,18.0,0.0,120,12,4,Normal Operations
2025-09-06 08:00:00,27.2,0.1,0.457,24.1,0.1,714,7,4,Normal Operations
2025-09-06 09:00:00,28.3,0.3,0.458,25.6,0.4,221,14,1,Normal Operations
2025-09-06 10:00:00,29.0,0.2,0.458,28.4,0.6,566,2,1,Normal Operations
2025-09-06 11:00:00,29.6,0.2,0.457,29.2,0.8,314,9,4,Normal Operations
2025-09-06 12:00:00,30.2,0.1,0.455,31.3,0.9,430,10,4,Normal Operations
2025-09-06 13:00:00,29.6,0.9,0.461,32.4,1.8,558,10,1,Normal Operations
2025-09-06 14:00:00,27.8,1.3,0.471,33.1,3.1,187,1,3,Normal Operations
2025-09-06 15:00:00,28.5,0.1,0.471,27.4,3.2,472,1,0,Normal Operations
2025-09-06 16:00:00,29.1,0.0,0.469,23.0,3.2,199,3,1,Normal Operations
2025-09-06 17:00:00,27.8,0.2,0.47,23.4,3.4,971,14,3,Normal Operations
2025-09-06 18:00:00,26.9,0.0,0.425,8.6,3.4,763,15,3,Normal Operations
2025-09-06 19:00:00,26.1,0.0,0.426,9.7,3.4,230,3,3,Normal Operations
2025-09-06 20:00:00,25.8,0.0,0.428,7.6,3.4,761,1,2,Normal Operations
2025-09-06 21:00:00,25.5,0.0,0.429,9.0,3.4,408,12,2,Normal Operations
2025-09-06 22:00:00,24.9,0.0,0.43,7.6,3.4,869,7,3,Normal Operations
2025-09-06 23:00:00,24.6,0.0,0.431,5.8,3.4,443,4,4,Normal Operations
2025-09-07 00:00:00,24.3,0.0,0.432,3.2,3.4,591,10,2,Normal Operations
2025-09-07 01:00:00,24.0,0.0,0.433,3.2,3.4,513,13,1,Normal Operations
2025-09-07 02:00:00,23.8,0.0,0.434,2.5,3.4,905,2,2,Normal Operations
2025-09-07 03:00:00,23.7,0.0,0.435,3.2,3.4,485,10,4,Normal Operations
2025-09-07 04:00:00,23.3,0.0,0.436,4.7,3.4,291,5,0,Normal Operations
2025-09-07 05:00:00,23.1,0.0,0.436,4.0,3.4,376,6,2,Normal Operations
2025-09-07 06:00:00,24.0,1.4,0.439,13.7,4.8,260,9,3,Normal Operations
2025-09-07 07:00:00,25.0,0.0,0.439,10.4,4.8,559,4,3,Normal Operations
2025-09-07 08:00:00,26.1,0.0,0.44,13.7,4.8,413,2,3,Normal Operations
2025-09-07 09:00:00,27.2,0.1,0.44,15.5,4.9,121,5,0,Normal Operations
2025-09-07 10:00:00,28.4,0.1,0.44,18.4,5.0,352,3,4,Normal Operations
2025-09-07 11:00:00,29.3,0.2,0.439,19.8,5.2,847,2,1,Normal Operations
