sample_id,latitude,longitude,nearest_moil_mine,distance_to_mine_km,elevation_m,ndvi_sentinel2,soil_moisture_sar_pct,lst_celsius_landsat9,rainfall_annual_chirps_mm,bouguer_gravity_anomaly_mgal,swir_alteration_ratio,magnetic_susceptibility_si,manganese_present
MOIL-SAMP-00001,21.57375,79.70603,Dongri Buzurg Mine,2.36,370.5,0.88,37.9,29.5,1187.9,-8.05,1.104,17.8,0
MOIL-SAMP-00002,21.57167,79.74122,Chikla Mine,0.8,363.6,0.244,66.6,34.5,1443.7,23.5,1.823,39.2,1
MOIL-SAMP-00003,21.43182,79.26635,Kandri Mine,1.64,372.4,0.641,20.0,32.2,1243.0,9.47,1.692,12.0,0
MOIL-SAMP-00004,21.82523,80.19241,Balaghat Mine (Largest underground Mn mine),2.57,327.9,0.203,52.7,35.9,1266.6,18.43,2.053,41.8,1
MOIL-SAMP-00005,21.74835,80.17173,Balaghat Mine (Largest underground Mn mine),6.2,360.9,0.604,37.1,32.0,1393.9,0.59,1.137,18.3,0
MOIL-SAMP-00006,21.40351,79.25839,Kandri Mine,1.74,414.5,0.615,37.5,29.1,1282.7,4.37,1.022,13.3,0
MOIL-SAMP-00007,21.68928,79.71633,Tirodi Mine,0.16,364.9,0.345,57.3,34.6,1273.6,16.15,2.514,42.2,1
MOIL-SAMP-00008,21.38452,79.00916,Gumgaon Mine,0.99,346.7,0.216,69.0,33.1,1287.7,16.82,2.258,25.8,1
MOIL-SAMP-00009,21.40041,78.98991,Gumgaon Mine,1.68,464.7,0.68,33.5,27.9,1196.8,3.23,1.277,7.0,0
MOIL-SAMP-00010,21.56404,79.70002,Dongri Buzurg Mine,1.14,393.8,0.173,68.0,34.9,1386.4,21.88,2.161,44.3,1
MOIL-SAMP-00011,21.37143,79.2753,Mansar Mine,2.95,411.1,0.591,56.0,33.0,1253.3,3.47,1.205,19.0,0
MOIL-SAMP-00012,21.53066,79.74626,Chikla Mine,3.77,361.6,0.874,39.8,29.5,1359.8,4.82,0.827,19.4,0
MOIL-SAMP-00013,21.98569,80.47495,Ukwa Mine,2.08,355.6,0.283,52.6,32.8,1306.5,17.21,2.304,44.4,1
MOIL-SAMP-00014,21.37324,79.27248,Mansar Mine,2.74,365.9,0.371,59.9,37.0,1302.1,20.54,1.715,9.9,1
MOIL-SAMP-00015,21.7659,80.18659,Balaghat Mine (Largest underground Mn mine),4.05,363.9,0.623,29.7,30.2,1432.7,-7.79,1.247,11.3,0
MOIL-SAMP-00016,21.57862,79.72485,Dongri Buzurg Mine,3.94,237.6,0.788,39.3,34.9,1243.1,-3.71,1.206,-0.4,0
MOIL-SAMP-00017,21.96824,80.45407,Ukwa Mine,1.44,408.3,0.352,57.7,34.9,1356.0,26.91,2.085,40.9,1
MOIL-SAMP-00018,21.4079,79.26865,Kandri Mine,1.02,424.6,0.27,64.3,35.4,1325.2,29.1,2.049,38.3,1
MOIL-SAMP-00019,21.67214,79.72152,Tirodi Mine,1.93,417.7,0.502,34.4,29.6,1312.4,-2.17,1.195,17.5,0
MOIL-SAMP-00020,21.5411,79.6947,Dongri Buzurg Mine,1.45,338.7,0.388,72.3,33.7,1218.1,17.31,1.853,31.3,1
MOIL-SAMP-00021,21.57726,79.73879,Chikla Mine,1.45,398.3,0.287,52.1,38.0,1349.2,25.79,2.452,36.0,1
MOIL-SAMP-00022,21.4214,79.26044,Kandri Mine,0.84,360.8,0.262,53.7,32.7,1271.2,30.34,2.59,52.9,1
MOIL-SAMP-00023,21.8044,80.18569,Balaghat Mine (Largest underground Mn mine),0.27,344.8,0.22,66.8,34.9,1376.6,12.24,1.937,34.9,1
MOIL-SAMP-00024,21.39339,79.26975,Mansar Mine,0.61,382.8,0.205,55.9,35.8,1372.7,29.51,2.665,50.4,1
MOIL-SAMP-00025,21.40501,79.26472,Kandri Mine,1.35,308.6,0.236,58.1,36.7,1279.0,17.86,2.175,62.5,1
MOIL-SAMP-00026,21.5908,79.76007,Sitasaongi Mine,0.87,367.1,0.349,72.3,34.0,1255.7,36.46,2.179,35.6,1
MOIL-SAMP-00027,21.39156,79.26334,Mansar Mine,1.23,344.9,0.336,69.8,34.9,1280.6,22.58,1.543,41.0,1
MOIL-SAMP-00028,21.98328,80.48353,Ukwa Mine,2.33,389.6,0.674,50.1,36.4,1361.8,-9.71,1.013,4.0,0
MOIL-SAMP-00029,21.57597,79.74607,Chikla Mine,1.34,349.8,0.582,15.0,28.2,1255.3,-8.62,1.307,17.6,0
MOIL-SAMP-00030,21.58852,79.76159,Sitasaongi Mine,0.61,421.0,0.293,64.5,34.8,1327.2,33.1,2.186,60.7,1
MOIL-SAMP-00031,21.56392,79.6977,Dongri Buzurg Mine,1.1,344.9,0.797,44.1,32.7,1382.5,-5.13,1.229,12.7,0
MOIL-SAMP-00032,21.94795,80.46125,Ukwa Mine,2.32,407.5,0.325,46.1,33.2,1363.5,24.91,2.214,48.7,1
MOIL-SAMP-00033,21.53104,79.74528,Chikla Mine,3.71,373.6,0.542,34.9,30.7,1456.5,-3.38,1.218,11.3,0
MOIL-SAMP-00034,21.79379,80.18805,Balaghat Mine (Largest underground Mn mine),0.97,339.8,0.365,73.8,37.5,1314.6,28.82,2.322,26.3,1
MOIL-SAMP-00035,21.41354,79.28139,Mansar Mine,1.93,545.5,0.585,60.1,27.7,1331.1,-3.57,1.528,7.1,0
MOIL-SAMP-00036,21.41318,79.27115,Kandri Mine,0.6,338.1,0.327,39.6,31.9,1293.0,26.41,1.995,37.0,1
MOIL-SAMP-00037,21.61403,79.77276,Sitasaongi Mine,3.64,400.1,0.545,62.2,32.7,1416.9,-12.5,1.629,9.5,0
MOIL-SAMP-00038,21.73165,79.73643,Tirodi Mine,5.26,447.7,0.319,56.9,34.2,1188.2,23.94,1.916,31.2,1
MOIL-SAMP-00039,21.44115,79.28339,Kandri Mine,3.16,332.3,0.662,29.0,33.9,1274.0,-11.08,1.154,18.0,0
MOIL-SAMP-00040,21.70258,79.73045,Tirodi Mine,2.23,384.4,0.625,43.5,32.9,1362.0,-8.98,1.021,23.8,0
MOIL-SAMP-00041,21.58848,79.73762,Chikla Mine,2.69,431.6,0.598,35.9,30.8,1383.4,-1.8,1.006,18.4,0
MOIL-SAMP-00042,21.44873,79.28193,Kandri Mine,3.83,337.7,0.56,29.9,31.7,1314.7,-9.32,1.078,14.5,0
MOIL-SAMP-00043,21.76702,80.17973,Balaghat Mine (Largest underground Mn mine),4.0,372.5,0.228,72.7,36.5,1225.7,23.78,2.313,16.4,1
MOIL-SAMP-00044,21.59616,79.72688,Dongri Buzurg Mine,5.57,400.3,0.653,44.4,32.8,1282.3,-0.7,1.314,3.7,0
MOIL-SAMP-00045,21.69206,79.70958,Tirodi Mine,0.68,346.9,0.12,72.7,34.8,1301.4,10.85,2.42,42.5,1
