Date,Equipment_ID,Mine_Location,Failure_Reason,Downtime_Hours,Repair_Cost_INR,Repair_Status
2026-08-24,EQ-MOIL-8888,Dongri Buzurg Mine (Opencast),Tread/Tyre Wear,51.4,167700.25,In Progress
2026-07-20,EQ-MOIL-2537,Mansar Mine (Underground/Opencast),Engine Overheating,10.3,76916.24,Completed
2026-07-09,EQ-MOIL-9888,Dongri Buzurg Mine (Opencast),Routine Maintenance,11.0,49088.93,Completed
2026-08-07,EQ-MOIL-6695,Dongri Buzurg Mine (Opencast),Routine Maintenance,33.3,138800.73,Completed
2026-08-27,EQ-MOIL-3951,Gumgaon Mine (Underground),Routine Maintenance,17.7,37422.29,Completed
2026-07-17,EQ-MOIL-2404,Chikla Mine (Underground),Electrical Fault,42.8,305175.99,Completed
2026-07-30,EQ-MOIL-6910,Chikla Mine (Underground),Tread/Tyre Wear,68.8,216060.65,In Progress
2026-08-15,EQ-MOIL-1118,Kandri Mine (Underground),Engine Overheating,34.3,252091.51,Completed
2026-07-08,EQ-MOIL-6262,Gumgaon Mine (Underground),Engine Overheating,51.6,230588.9,In Progress
2026-08-02,EQ-MOIL-6262,Gumgaon Mine (Underground),Hydraulic System Failure,49.6,251859.08,In Progress
2026-08-06,EQ-MOIL-6695,Dongri Buzurg Mine (Opencast),Routine Maintenance,37.2,220533.29,Completed
2026-07-17,EQ-MOIL-6695,Dongri Buzurg Mine (Opencast),Tread/Tyre Wear,8.7,30623.18,Completed
2026-09-06,EQ-MOIL-4285,Mansar Mine (Underground/Opencast),Electrical Fault,5.6,36222.53,Completed
2026-08-05,EQ-MOIL-5981,Tirodi Mine (Opencast),Tread/Tyre Wear,7.3,35613.78,Completed
2026-08-06,EQ-MOIL-6262,Gumgaon Mine (Underground),Hydraulic System Failure,23.8,183710.69,Completed
2026-09-03,EQ-MOIL-6695,Dongri Buzurg Mine (Opencast),Engine Overheating,42.6,120704.77,Completed
2026-07-21,EQ-MOIL-6500,Kandri Mine (Underground),Hydraulic System Failure,26.8,62159.31,Completed
2026-08-03,EQ-MOIL-4155,Gumgaon Mine (Underground),Engine Overheating,45.4,112428.58,Completed
2026-08-24,EQ-MOIL-2537,Mansar Mine (Underground/Opencast),Routine Maintenance,39.3,240109.14,Completed
2026-08-20,EQ-MOIL-1118,Kandri Mine (Underground),Tread/Tyre Wear,67.1,413659.28,In Progress
2026-08-04,EQ-MOIL-6695,Dongri Buzurg Mine (Opencast),Routine Maintenance,27.3,136262.69,Completed
2026-07-26,EQ-MOIL-3951,Gumgaon Mine (Underground),Engine Overheating,18.0,117269.92,Completed
2026-07-31,EQ-MOIL-8928,Mansar Mine (Underground/Opencast),Engine Overheating,43.3,272165.41,Completed
2026-08-29,EQ-MOIL-9888,Dongri Buzurg Mine (Opencast),Electrical Fault,67.6,440448.5,In Progress
2026-08-01,EQ-MOIL-9888,Dongri Buzurg Mine (Opencast),Engine Overheating,27.9,203928.48,Completed
2026-08-06,EQ-MOIL-3951,Gumgaon Mine (Underground),Engine Overheating,57.0,411211.35,In Progress
2026-07-15,EQ-MOIL-6695,Dongri Buzurg Mine (Opencast),Tread/Tyre Wear,44.5,225819.93,Completed
2026-08-01,EQ-MOIL-2404,Chikla Mine (Underground),Engine Overheating,42.4,274250.36,Completed
2026-07-19,EQ-MOIL-6695,Dongri Buzurg Mine (Opencast),Routine Maintenance,61.6,184747.62,In Progress
2026-08-04,EQ-MOIL-2137,Dongri Buzurg Mine (Opencast),Tread/Tyre Wear,38.6,108067.51,Completed
2026-09-03,EQ-MOIL-5981,Tirodi Mine (Opencast),Routine Maintenance,61.4,246749.84,In Progress
2026-07-24,EQ-MOIL-2012,Balaghat Mine (Underground/Opencast),Hydraulic System Failure,57.3,284576.38,In Progress
2026-07-10,EQ-MOIL-3951,Gumgaon Mine (Underground),Electrical Fault,62.6,481959.11,In Progress
2026-07-15,EQ-MOIL-8888,Dongri Buzurg Mine (Opencast),Engine Overheating,16.1,70964.06,Completed
2026-07-25,EQ-MOIL-1118,Kandri Mine (Underground),Tread/Tyre Wear,49.6,315230.04,In Progress
2026-08-22,EQ-MOIL-6967,Gumgaon Mine (Underground),Engine Overheating,51.3,219868.7,In Progress
2026-07-30,EQ-MOIL-3951,Gumgaon Mine (Underground),Hydraulic System Failure,65.2,154692.83,In Progress
2026-08-26,EQ-MOIL-6910,Chikla Mine (Underground),Hydraulic System Failure,3.6,25676.18,Completed
2026-08-17,EQ-MOIL-4645,Chikla Mine (Underground),Tread/Tyre Wear,31.0,106453.07,Completed
2026-09-04,EQ-MOIL-2012,Balaghat Mine (Underground/Opencast),Tread/Tyre Wear,13.4,68863.05,Completed
2026-08-23,EQ-MOIL-6262,Gumgaon Mine (Underground),Tread/Tyre Wear,69.8,173997.59,In Progress
2026-07-19,EQ-MOIL-4155,Gumgaon Mine (Underground),Routine Maintenance,28.6,186402.65,Completed
2026-08-28,EQ-MOIL-4285,Mansar Mine (Underground/Opencast),Tread/Tyre Wear,24.9,136590.73,Completed
2026-08-21,EQ-MOIL-6500,Kandri Mine (Underground),Tread/Tyre Wear,30.3,67660.05,Completed
2026-08-21,EQ-MOIL-6262,Gumgaon Mine (Underground),Engine Overheating,12.7,91536.54,Completed
2026-08-27,EQ-MOIL-2404,Chikla Mine (Underground),Routine Maintenance,55.8,147016.82,In Progress
2026-08-28,EQ-MOIL-6262,Gumgaon Mine (Underground),Routine Maintenance,45.4,204015.09,Completed
2026-07-08,EQ-MOIL-2537,Mansar Mine (Underground/Opencast),Electrical Fault,48.7,187180.06,In Progress
2026-08-26,EQ-MOIL-6262,Gumgaon Mine (Underground),Engine Overheating,46.4,330057.57,Completed
