time,temperature_2m,precipitation,soil_moisture_0_to_7cm,wind_gusts_10m,Rolling_72h_Rainfall,Mine_Name,Mine_Type,Pending_Target_Tons,Days_To_Deadline,Daily_Extraction_Capacity,Overtime_Capacity_hrs,Recommended_Action
2025-09-06 00:00:00,24.2,0.0,0.463,11.5,0.0,Dongri Buzurg,Opencast,202,2,154,2,Normal Operations
2025-09-06 01:00:00,23.9,0.0,0.463,7.6,0.0,Dongri Buzurg,Opencast,535,8,211,1,Normal Operations
2025-09-06 02:00:00,23.8,0.0,0.464,6.5,0.0,Dongri Buzurg,Opencast,960,14,122,2,Normal Operations
2025-09-06 03:00:00,23.6,0.0,0.464,6.5,0.0,Dongri Buzurg,Opencast,370,15,277,1,Normal Operations
2025-09-06 04:00:00,23.4,0.0,0.464,5.8,0.0,Dongri Buzurg,Opencast,206,6,250,3,Normal Operations
2025-09-06 05:00:00,23.2,0.0,0.464,7.9,0.0,Dongri Buzurg,Opencast,171,8,281,4,Normal Operations
2025-09-06 06:00:00,24.2,0.0,0.466,15.1,0.0,Dongri Buzurg,Opencast,800,6,155,3,Normal Operations
2025-09-06 07:00:00,25.4,0.0,0.466,15.1,0.0,Dongri Buzurg,Opencast,120,4,272,2,Normal Operations
2025-09-06 08:00:00,26.8,0.1,0.465,22.3,0.1,Dongri Buzurg,Opencast,714,8,170,2,Normal Operations
2025-09-06 09:00:00,27.9,0.1,0.464,27.7,0.2,Dongri Buzurg,Opencast,221,4,111,4,Normal Operations
2025-09-06 10:00:00,28.9,0.2,0.463,28.1,0.4,Dongri Buzurg,Opencast,566,6,249,2,Normal Operations
2025-09-06 11:00:00,29.4,0.2,0.462,30.6,0.6000000000000001,Dongri Buzurg,Opencast,314,5,244,0,Normal Operations
2025-09-06 12:00:00,27.9,1.4,0.474,32.8,2.0,Dongri Buzurg,Opencast,430,4,176,1,Normal Operations
2025-09-06 13:00:00,28.7,0.1,0.472,32.4,2.1,Dongri Buzurg,Opencast,558,7,201,3,Normal Operations
2025-09-06 14:00:00,29.4,0.1,0.47,32.0,2.2,Dongri Buzurg,Opencast,187,8,275,1,Normal Operations
2025-09-06 15:00:00,29.3,0.1,0.469,28.1,2.3,Dongri Buzurg,Opencast,472,14,298,2,Normal Operations
2025-09-06 16:00:00,27.7,0.4,0.47,26.3,2.7,Dongri Buzurg,Opencast,199,6,149,1,Normal Operations
2025-09-06 17:00:00,26.8,0.0,0.47,22.0,2.7,Dongri Buzurg,Opencast,971,1,182,1,Pre-emptive Overtime Prior Shift
2025-09-06 18:00:00,26.1,0.0,0.452,18.0,2.7,Dongri Buzurg,Opencast,763,7,286,0,Normal Operations
2025-09-06 19:00:00,25.4,0.0,0.452,10.1,2.7,Dongri Buzurg,Opencast,230,4,266,2,Normal Operations
2025-09-06 20:00:00,25.0,0.0,0.452,10.1,2.7,Dongri Buzurg,Opencast,761,2,298,3,Pre-emptive Overtime Prior Shift
2025-09-06 21:00:00,24.7,0.0,0.452,7.2,2.7,Dongri Buzurg,Opencast,408,3,287,0,Normal Operations
2025-09-06 22:00:00,24.4,0.0,0.452,7.6,2.7,Dongri Buzurg,Opencast,869,10,116,2,Normal Operations
2025-09-06 23:00:00,24.3,0.0,0.453,10.4,2.7,Dongri Buzurg,Opencast,443,4,133,2,Normal Operations
2025-09-07 00:00:00,24.1,0.0,0.453,11.5,2.7,Dongri Buzurg,Opencast,591,14,209,1,Normal Operations
2025-09-07 01:00:00,23.9,0.0,0.453,10.1,2.7,Dongri Buzurg,Opencast,513,7,174,4,Normal Operations
2025-09-07 02:00:00,23.6,0.0,0.453,6.5,2.7,Dongri Buzurg,Opencast,905,9,236,4,Normal Operations
2025-09-07 03:00:00,23.6,0.0,0.453,7.9,2.7,Dongri Buzurg,Opencast,485,10,138,1,Normal Operations
2025-09-07 04:00:00,23.4,0.0,0.453,7.9,2.7,Dongri Buzurg,Opencast,291,11,166,2,Normal Operations
2025-09-07 05:00:00,23.2,0.0,0.454,6.1,2.7,Dongri Buzurg,Opencast,376,6,250,0,Normal Operations
2025-09-07 06:00:00,24.9,0.0,0.44,10.1,2.7,Dongri Buzurg,Opencast,260,10,219,1,Normal Operations
2025-09-07 07:00:00,25.8,0.1,0.441,12.2,2.8000000000000003,Dongri Buzurg,Opencast,559,5,267,0,Normal Operations
2025-09-07 08:00:00,26.4,0.2,0.442,13.7,3.0,Dongri Buzurg,Opencast,413,9,231,0,Normal Operations
2025-09-07 09:00:00,27.4,0.1,0.442,15.1,3.1,Dongri Buzurg,Opencast,121,12,284,0,Normal Operations
2025-09-07 10:00:00,28.4,0.1,0.441,20.2,3.2,Dongri Buzurg,Opencast,352,8,208,4,Normal Operations
2025-09-07 11:00:00,29.0,0.1,0.441,22.0,3.3000000000000003,Dongri Buzurg,Opencast,847,8,243,1,Normal Operations
2025-09-07 12:00:00,29.5,0.1,0.439,23.8,3.4,Dongri Buzurg,Opencast,956,8,224,1,Normal Operations
2025-09-07 13:00:00,30.2,0.1,0.437,26.6,3.5,Dongri Buzurg,Opencast,660,15,158,2,Normal Operations
2025-09-07 14:00:00,29.8,0.0,0.435,26.6,3.5,Dongri Buzurg,Opencast,574,8,124,1,Normal Operations
2025-09-07 15:00:00,29.2,0.5,0.437,26.6,4.0,Dongri Buzurg,Opencast,158,8,232,0,Normal Operations
2025-09-07 16:00:00,28.4,0.6,0.442,24.5,4.6,Dongri Buzurg,Opencast,610,10,228,4,Normal Operations
2025-09-07 17:00:00,25.2,0.8,0.448,26.6,5.4,Dongri Buzurg,Opencast,781,10,247,4,Normal Operations
2025-09-07 18:00:00,26.4,0.0,0.407,20.5,5.4,Dongri Buzurg,Opencast,575,7,238,1,Normal Operations
2025-09-07 19:00:00,25.5,0.0,0.408,15.1,5.4,Dongri Buzurg,Opencast,799,2,196,1,Pre-emptive Overtime Prior Shift
2025-09-07 20:00:00,25.2,0.0,0.408,11.5,5.4,Dongri Buzurg,Opencast,882,2,199,2,Pre-emptive Overtime Prior Shift
2025-09-07 21:00:00,25.2,0.0,0.409,10.8,5.4,Dongri Buzurg,Opencast,289,11,131,1,Normal Operations
2025-09-07 22:00:00,24.8,0.0,0.41,11.9,5.4,Dongri Buzurg,Opencast,786,5,266,2,Normal Operations
2025-09-07 23:00:00,24.6,0.0,0.41,11.2,5.4,Dongri Buzurg,Opencast,662,6,207,4,Normal Operations
2025-09-08 00:00:00,24.2,0.0,0.411,11.2,5.4,Dongri Buzurg,Opencast,975,13,272,3,Normal Operations
2025-09-08 01:00:00,23.9,0.0,0.412,9.0,5.4,Dongri Buzurg,Opencast,666,9,284,4,Normal Operations
2025-09-08 02:00:00,23.7,0.0,0.412,9.7,5.4,Dongri Buzurg,Opencast,343,1,181,0,Shift Heavy Extraction to Night/Early Morning
2025-09-08 03:00:00,23.3,0.0,0.413,10.1,5.4,Dongri Buzurg,Opencast,931,11,135,1,Normal Operations
2025-09-08 04:00:00,23.1,0.0,0.414,9.0,5.4,Dongri Buzurg,Opencast,604,7,269,2,Normal Operations
2025-09-08 05:00:00,23.0,0.0,0.414,9.4,5.4,Dongri Buzurg,Opencast,230,7,187,3,Normal Operations
2025-09-08 06:00:00,23.9,0.8,0.419,14.4,6.2,Dongri Buzurg,Opencast,584,8,227,0,Normal Operations
2025-09-08 07:00:00,24.6,0.5,0.425,10.4,6.7,Dongri Buzurg,Opencast,918,13,195,4,Normal Operations
2025-09-08 08:00:00,25.3,0.1,0.427,12.6,6.8,Dongri Buzurg,Opencast,746,1,108,1,Pre-emptive Overtime Prior Shift
2025-09-08 09:00:00,26.5,0.0,0.427,14.0,6.8,Dongri Buzurg,Opencast,120,12,216,4,Normal Operations
2025-09-08 10:00:00,28.2,0.0,0.426,13.7,6.8,Dongri Buzurg,Opencast,940,13,251,3,Normal Operations
2025-09-08 11:00:00,29.5,0.2,0.425,13.7,7.0,Dongri Buzurg,Opencast,266,10,178,0,Normal Operations
2025-09-08 12:00:00,30.1,0.2,0.424,14.0,7.2,Dongri Buzurg,Opencast,373,13,146,3,Normal Operations
2025-09-08 13:00:00,30.1,0.1,0.423,16.9,7.3,Dongri Buzurg,Opencast,487,4,273,1,Normal Operations
2025-09-08 14:00:00,29.3,1.0,0.429,17.6,8.3,Dongri Buzurg,Opencast,700,10,158,4,Normal Operations
2025-09-08 15:00:00,27.4,2.6,0.459,21.2,10.9,Dongri Buzurg,Opencast,415,5,109,4,Pause Operations & Maintain Equipment
2025-09-08 16:00:00,27.4,0.1,0.459,22.7,11.0,Dongri Buzurg,Opencast,113,2,229,2,Normal Operations
2025-09-08 17:00:00,26.7,0.0,0.458,16.9,11.0,Dongri Buzurg,Opencast,341,2,141,2,Pre-emptive Overtime Prior Shift
2025-09-08 18:00:00,27.8,0.0,0.385,8.3,11.0,Dongri Buzurg,Opencast,876,11,202,2,Normal Operations
