Date,Temp_Max,Temp_Min,Rainfall_mm,Soil_Moisture,Mine_Location
2023-09-02,33.9,25.3,5.9,0.385,Nagpur_MOIL
2023-09-03,32.8,25.3,3.6,0.431,Nagpur_MOIL
2023-09-04,34.3,24.9,1.7,0.413,Nagpur_MOIL
2023-09-05,32.8,24.8,19.0,0.424,Nagpur_MOIL
2023-09-06,30.0,24.1,7.2,0.472,Nagpur_MOIL
2023-09-07,30.0,24.2,18.0,0.485,Nagpur_MOIL
2023-09-08,29.7,24.0,13.3,0.506,Nagpur_MOIL
2023-09-09,30.2,24.0,9.9,0.502,Nagpur_MOIL
2023-09-10,29.5,24.1,11.2,0.497,Nagpur_MOIL
2023-09-11,31.9,24.9,0.8,0.481,Nagpur_MOIL
2023-09-12,31.5,24.8,1.5,0.478,Nagpur_MOIL
2023-09-13,30.5,24.8,21.8,0.494,Nagpur_MOIL
2023-09-14,30.4,23.9,40.5,0.507,Nagpur_MOIL
2023-09-15,25.9,24.2,50.5,0.512,Nagpur_MOIL
2023-09-16,30.3,24.1,0.5,0.491,Nagpur_MOIL
2023-09-17,30.8,23.3,0.5,0.472,Nagpur_MOIL
2023-09-18,31.6,22.8,0.0,0.445,Nagpur_MOIL
2023-09-19,32.0,22.7,0.0,0.425,Nagpur_MOIL
2023-09-20,31.6,24.6,5.2,0.428,Nagpur_MOIL
2023-09-21,30.1,23.7,18.0,0.491,Nagpur_MOIL
2023-09-22,29.3,24.2,16.6,0.507,Nagpur_MOIL
2023-09-23,28.3,23.4,39.5,0.508,Nagpur_MOIL
2023-09-24,31.0,23.3,6.9,0.48,Nagpur_MOIL
2023-09-25,31.9,23.4,0.5,0.461,Nagpur_MOIL
2023-09-26,30.8,24.3,2.0,0.456,Nagpur_MOIL
2023-09-27,30.3,23.1,0.5,0.44,Nagpur_MOIL
2023-09-28,32.0,23.7,0.0,0.433,Nagpur_MOIL
2023-09-29,29.6,24.0,17.6,0.467,Nagpur_MOIL
2023-09-30,31.1,23.5,6.5,0.475,Nagpur_MOIL
2023-10-01,32.6,24.1,0.2,0.467,Nagpur_MOIL
2023-10-02,32.3,23.3,4.7,0.467,Nagpur_MOIL
2023-10-03,33.2,23.6,0.0,0.436,Nagpur_MOIL
2023-10-04,33.2,21.4,0.0,0.409,Nagpur_MOIL
2023-10-05,33.6,20.2,0.0,0.389,Nagpur_MOIL
