time,temperature_2m,precipitation,soil_moisture_0_to_7cm,wind_gusts_10m,Rolling_72h_Rainfall
2025-09-06 00:00:00,24.6,0.0,0.47,11.5,0.0
2025-09-06 01:00:00,24.4,0.0,0.471,10.4,0.0
2025-09-06 02:00:00,24.2,0.0,0.471,10.8,0.0
2025-09-06 03:00:00,24.0,0.0,0.471,11.2,0.0
2025-09-06 04:00:00,23.8,0.0,0.472,13.3,0.0
2025-09-06 05:00:00,23.8,0.0,0.472,13.3,0.0
2025-09-06 06:00:00,24.8,0.0,0.456,15.8,0.0
2025-09-06 07:00:00,26.0,0.0,0.456,18.0,0.0
2025-09-06 08:00:00,27.2,0.1,0.457,24.1,0.1
2025-09-06 09:00:00,28.3,0.3,0.458,25.6,0.4
2025-09-06 10:00:00,29.0,0.2,0.458,28.4,0.6
2025-09-06 11:00:00,29.6,0.2,0.457,29.2,0.8
2025-09-06 12:00:00,30.2,0.1,0.455,31.3,0.9
2025-09-06 13:00:00,29.6,0.9,0.461,32.4,1.8
2025-09-06 14:00:00,27.8,1.3,0.471,33.1,3.1
2025-09-06 15:00:00,28.5,0.1,0.471,27.4,3.2
2025-09-06 16:00:00,29.1,0.0,0.469,23.0,3.2
2025-09-06 17:00:00,27.8,0.2,0.47,23.4,3.4
2025-09-06 18:00:00,26.9,0.0,0.425,8.6,3.4
2025-09-06 19:00:00,26.1,0.0,0.426,9.7,3.4
2025-09-06 20:00:00,25.8,0.0,0.428,7.6,3.4
2025-09-06 21:00:00,25.5,0.0,0.429,9.0,3.4
2025-09-06 22:00:00,24.9,0.0,0.43,7.6,3.4
2025-09-06 23:00:00,24.6,0.0,0.431,5.8,3.4
2025-09-07 00:00:00,24.3,0.0,0.432,3.2,3.4
2025-09-07 01:00:00,24.0,0.0,0.433,3.2,3.4
2025-09-07 02:00:00,23.8,0.0,0.434,2.5,3.4
2025-09-07 03:00:00,23.7,0.0,0.435,3.2,3.4
2025-09-07 04:00:00,23.3,0.0,0.436,4.7,3.4
2025-09-07 05:00:00,23.1,0.0,0.436,4.0,3.4
2025-09-07 06:00:00,24.0,1.4,0.439,13.7,4.8
2025-09-07 07:00:00,25.0,0.0,0.439,10.4,4.8
2025-09-07 08:00:00,26.1,0.0,0.44,13.7,4.8
2025-09-07 09:00:00,27.2,0.1,0.44,15.5,4.9
2025-09-07 10:00:00,28.4,0.1,0.44,18.4,5.0
2025-09-07 11:00:00,29.3,0.2,0.439,19.8,5.2
2025-09-07 12:00:00,29.5,0.2,0.437,21.2,5.4
2025-09-07 13:00:00,28.8,0.3,0.438,22.7,5.7
2025-09-07 14:00:00,27.1,5.0,0.498,22.0,10.7
2025-09-07 15:00:00,27.5,0.1,0.495,16.2,10.8
2025-09-07 16:00:00,27.4,1.1,0.502,13.3,11.9
2025-09-07 17:00:00,26.2,3.7,0.51,15.1,15.600000000000001
2025-09-07 18:00:00,27.1,0.0,0.405,13.7,15.600000000000001
2025-09-07 19:00:00,26.5,0.0,0.406,7.2,15.600000000000001
2025-09-07 20:00:00,25.9,0.0,0.407,7.6,15.600000000000001
2025-09-07 21:00:00,25.3,0.0,0.408,7.6,15.600000000000001
2025-09-07 22:00:00,24.9,0.0,0.409,6.5,15.600000000000001
2025-09-07 23:00:00,24.9,0.0,0.41,5.8,15.600000000000001
2025-09-08 00:00:00,24.5,0.0,0.411,1.8,15.600000000000001
2025-09-08 01:00:00,24.1,0.0,0.411,4.7,15.600000000000001
2025-09-08 02:00:00,23.6,0.0,0.412,5.0,15.600000000000001
2025-09-08 03:00:00,23.3,0.0,0.413,4.7,15.600000000000001
2025-09-08 04:00:00,23.1,0.0,0.414,4.7,15.600000000000001
2025-09-08 05:00:00,23.0,0.0,0.415,3.6,15.600000000000001
2025-09-08 06:00:00,24.3,0.8,0.469,10.1,16.400000000000002
2025-09-08 07:00:00,24.9,0.6,0.476,12.6,17.0
2025-09-08 08:00:00,26.2,0.1,0.475,16.2,17.1
2025-09-08 09:00:00,27.5,0.1,0.474,15.8,17.2
2025-09-08 10:00:00,28.6,0.1,0.472,17.3,17.3
2025-09-08 11:00:00,29.4,0.1,0.469,20.2,17.400000000000002
2025-09-08 12:00:00,29.8,0.1,0.467,20.5,17.5
2025-09-08 13:00:00,29.9,0.0,0.465,20.9,17.5
2025-09-08 14:00:00,28.4,0.4,0.467,12.6,17.900000000000002
2025-09-08 15:00:00,27.9,0.2,0.466,19.8,18.1
2025-09-08 16:00:00,28.1,0.0,0.465,15.1,18.1
2025-09-08 17:00:00,27.7,0.0,0.464,12.2,18.1
2025-09-08 18:00:00,26.9,0.0,0.447,14.0,18.1
2025-09-08 19:00:00,26.3,0.0,0.447,15.5,18.1
2025-09-08 20:00:00,25.9,0.0,0.447,15.5,18.1
2025-09-08 21:00:00,25.4,0.0,0.447,9.4,18.1
2025-09-08 22:00:00,25.2,0.0,0.447,12.2,18.1
2025-09-08 23:00:00,25.2,0.1,0.448,15.8,18.2
2025-09-09 00:00:00,25.1,0.3,0.45,16.6,18.5
2025-09-09 01:00:00,24.7,0.0,0.45,15.1,18.5
2025-09-09 02:00:00,24.4,0.0,0.45,15.8,18.5
2025-09-09 03:00:00,23.9,0.0,0.45,12.2,18.5
